TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	SRA1	TP73	chr5:140001766-140002172	chr5:139934542-139939542	promoter	-0.552414805584267	0.00129790293570678	0.552414805584267
2	SRA1	TP73	chr5:140002429-140003029	chr5:139934542-139939542	promoter	-0.552414805584267	0.00129790293570678	0.552414805584267
3	SRA1	TP73	chr5:140001766-140002172	chr5:139935179-139940179	promoter	-0.552414805584267	0.00129790293570678	0.552414805584267
4	SRA1	TP73	chr5:140002429-140003029	chr5:139935179-139940179	promoter	-0.552414805584267	0.00129790293570678	0.552414805584267
5	SRA1	MTF1	chr5:140001766-140002172	chr5:139934542-139939542	both	-0.053273205589864	0.00129790293570678	0.053273205589864
6	SRA1	MTF1	chr5:140002429-140003029	chr5:139934542-139939542	promoter	-0.053273205589864	0.00129790293570678	0.053273205589864
7	SRA1	MTF1	chr5:140001766-140002172	chr5:139935179-139940179	both	-0.053273205589864	0.00129790293570678	0.053273205589864
8	SRA1	MTF1	chr5:140002429-140003029	chr5:139935179-139940179	promoter	-0.053273205589864	0.00129790293570678	0.053273205589864
9	SRA1	JUN	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	0.0609986000318761	0.00129790293570678	0.0609986000318761
10	SRA1	JUN	chr5:140002429-140003029	chr5:139935179-139940179	enhancer	0.0609986000318761	0.00129790293570678	0.0609986000318761
11	SRA1	TBX15	chr5:140001766-140002172	chr5:139934542-139939542	enhancer	-0.0245691341018396	0.00129790293570678	0.0245691341018396
12	SRA1	TBX15	chr5:140001766-140002172	chr5:139935179-139940179	enhancer	-0.0245691341018396	0.00129790293570678	0.0245691341018396
13	SRA1	NHLH1	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	0.0682152259079291	0.00129790293570678	0.0682152259079291
14	SRA1	NHLH1	chr5:140002429-140003029	chr5:139935179-139940179	enhancer	0.0682152259079291	0.00129790293570678	0.0682152259079291
15	SRA1	LMX1A	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	-0.67644234633658	0.00129790293570678	0.67644234633658
16	SRA1	LMX1A	chr5:140002429-140003029	chr5:139935179-139940179	enhancer	-0.67644234633658	0.00129790293570678	0.67644234633658
17	SRA1	RXRG	chr5:140001766-140002172	chr5:139934542-139939542	promoter	-0.251422849356668	0.00129790293570678	0.251422849356668
18	SRA1	RXRG	chr5:140002429-140003029	chr5:139934542-139939542	promoter	-0.251422849356668	0.00129790293570678	0.251422849356668
19	SRA1	RXRG	chr5:140001766-140002172	chr5:139935179-139940179	promoter	-0.251422849356668	0.00129790293570678	0.251422849356668
20	SRA1	RXRG	chr5:140002429-140003029	chr5:139935179-139940179	promoter	-0.251422849356668	0.00129790293570678	0.251422849356668
21	SRA1	GRHL1	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	-0.195638039213029	0.00129790293570678	0.195638039213029
22	SRA1	GRHL1	chr5:140002429-140003029	chr5:139935179-139940179	enhancer	-0.195638039213029	0.00129790293570678	0.195638039213029
23	SRA1	NFE2L2	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	0.00418617885087095	0.00129790293570678	0.00418617885087095
24	SRA1	NFE2L2	chr5:140002429-140003029	chr5:139935179-139940179	enhancer	0.00418617885087095	0.00129790293570678	0.00418617885087095
25	SRA1	STAT1	chr5:140002429-140003029	chr5:139934542-139939542	enhancer	0.0943896576940845	0.00129790293570678	0.0943896576940845
26	SRA1	STAT1	chr5:140001766-140002172	chr5:139935179-139940179	promoter	0.0943896576940845	0.00129790293570678	0.0943896576940845
