USF1	ENKD1	5.22651234814846
NR4A1	MELK	4.76378501805889
E2F3	MELK	4.57683598429217
RFX4	HBQ1	3.95033168706865
ZNF827	ENKD1	3.93376112283942
GTF2IRD1	ENKD1	3.87500901285789
FLYWCH1	ENKD1	3.65215351126571
CENPB	ENKD1	3.56520497040952
STAT3	MBLAC1	3.55512851164011
TIGD6	MBLAC1	3.46484206750661
ETV1	MELK	3.41863595528506
ZNF395	ENKD1	3.41735571785304
ZBTB2	CALCRL	3.41522492188377
NR1D2	MBLAC1	3.40809252717149
MLXIPL	CALCRL	3.37862082985224
MAFF	MBLAC1	3.33682033521857
MAFK	CALCRL	3.3271802181695
HES1	HBQ1	3.32012888736049
ZNF774	HBQ1	3.31683431605393
LIN54	MBLAC1	3.31611504308611
BHLHE40	HBQ1	3.31175730036532
HINFP	HBQ1	3.29884600781546
ZNF341	CALCRL	3.27486467763483
RREB1	MELK	3.18508357102509
THAP9	CALCRL	3.17078957954719
GLIS1	CALCRL	3.16199439878017
ZNF891	HBQ1	3.16168735339034
ZSCAN21	MELK	3.1391113682218
ZBTB18	CALCRL	3.12844896010762
EGR3	ENKD1	3.04671734888086
ESRRA	MELK	3.04244165480426
ZNF740	MBLAC1	3.00978865792762
HMGA1	HBQ1	2.9876735280692
SCRT1	CALCRL	2.96541422635862
AHDC1	CALCRL	2.9626925629918
ZBTB33	CALCRL	2.94472099547832
TRAFD1	ENKD1	2.9308804984744
LHX2	CALCRL	2.92060610337451
HMGA1	MELK	2.91954542725571
XBP1	ENKD1	2.91925813732451
KLF6	MBLAC1	2.87137141088095
ZNF3	MELK	2.75710434410782
HESX1	HBQ1	2.72149077701326
MYBL1	HBQ1	2.6996006333356
KLF13	CALCRL	2.62853688827253
DOT1L	ENKD1	2.62657594170813
CREBL2	HBQ1	2.58734709765012
RELB	MBLAC1	2.5869222678388
ZNF184	CALCRL	2.56236862723508
SRF	MELK	2.54898184745699
LHX2	ENKD1	2.54411871593904
MXD1	ENKD1	2.53600901840073
ZBTB18	MELK	2.46046560715232
OLIG2	MBLAC1	2.44630759107692
NR3C2	MBLAC1	2.44189279900484
FOXP4	CALCRL	2.42237429262881
ESR1	ENKD1	2.41868224915291
MLX	MBLAC1	2.40693144559872
FOXN3	MELK	2.39285103677775
NPAS1	ENKD1	2.39217645757948
MNT	MBLAC1	2.38566163079411
TCF3	CALCRL	2.35185110720815
SOX9	MBLAC1	2.34816062190921
ZNF687	MBLAC1	2.34225758658242
TBPL1	MBLAC1	2.34015472403575
CREB5	HBQ1	2.33887659090586
ZBTB7C	ENKD1	2.32468262497998
ARHGAP35	CALCRL	2.31604229774631
ZNF436	CALCRL	2.31603603256931
KLF15	CALCRL	2.31480063067394
RARA	CALCRL	2.3060869741543
ZNF322	MELK	2.30369265526511
SOX4	MELK	2.30106758727626
CEBPB	MBLAC1	2.26646730960128
STAT2	HBQ1	2.26071183321185
ZNF639	MBLAC1	2.26056535612314
SOX9	HBQ1	2.24210399158177
PBX3	MELK	2.23108348199097
TCF12	MELK	2.21060577109035
NHLH2	MBLAC1	2.20490660894067
RFX4	MELK	2.16737518561066
SOX15	ENKD1	2.16448327460661
ATMIN	CALCRL	2.12570394329934
TCF3	HBQ1	2.12457169625347
PROX1	HBQ1	2.11614064998128
XBP1	CALCRL	2.11603872662611
NR2F6	MBLAC1	2.1137246259187
FOXJ3	MELK	2.11288173531683
NHLH2	HBQ1	2.10911160598856
IKZF5	CALCRL	2.09944573528719
ZNF317	MBLAC1	2.08478713472156
FLYWCH1	MBLAC1	2.07572123104404
MKX	MBLAC1	2.06660110865714
ZBTB7B	MELK	2.02287492210093
TFAP4	MELK	2.01063446147914
STAT3	MELK	2.00661755432008
ST18	RNF220	1.99684122320265
ST18	CTNNA3	1.99579882073219
ST18	QKI	1.99535004898491
ST18	SIK3	1.99107447136022
ST18	SLC44A1	1.99021735012962
ST18	MAGI2	1.99013658598707
ST18	PPP2R2B	1.98883704560288
ST18	PTPRD	1.98752106980217
ST18	FRMD5	1.98741977937865
ST18	PDE4B	1.98732185379512
ST18	DLG2	1.98424874659273
ST18	OPCML	1.9836215002475
ETV3	FBXL14	1.98343459952147
ST18	PCDH9	1.98288597884999
ZBTB20	SIK3	1.9826496453419
